파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
45,c1_30(7).jpg,https://www.bigdatahub.go.kr/images/disease/,30,7,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
46,c1_30(8).jpg,https://www.bigdatahub.go.kr/images/disease/,30,8,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
47,c1_30(9).jpg,https://www.bigdatahub.go.kr/images/disease/,30,9,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
48,c1_42(1).jpg,https://www.bigdatahub.go.kr/images/disease/,42,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
49,c1_42(2).jpg,https://www.bigdatahub.go.kr/images/disease/,42,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
50,c1_42(3).jpg,https://www.bigdatahub.go.kr/images/disease/,42,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
51,c1_42(4).jpg,https://www.bigdatahub.go.kr/images/disease/,42,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
52,c1_42(5).jpg,https://www.bigdatahub.go.kr/images/disease/,42,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
53,c1_42(6).jpg,https://www.bigdatahub.go.kr/images/disease/,42,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
54,c1_42(7).jpg,https://www.bigdatahub.go.kr/images/disease/,42,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
55,c1_42(8).jpg,https://www.bigdatahub.go.kr/images/disease/,42,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
56,c1_42(9).jpg,https://www.bigdatahub.go.kr/images/disease/,42,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
57,c1_43(1).jpg,https://www.bigdatahub.go.kr/images/disease/,43,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
58,c1_43(2).jpg,https://www.bigdatahub.go.kr/images/disease/,43,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
59,c1_43(3).jpg,https://www.bigdatahub.go.kr/images/disease/,43,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
60,c1_43(4).jpg,https://www.bigdatahub.go.kr/images/disease/,43,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
61,c1_43(5).jpg,https://www.bigdatahub.go.kr/images/disease/,43,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
62,c1_43(6).jpg,https://www.bigdatahub.go.kr/images/disease/,43,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
63,c1_43(7).jpg,https://www.bigdatahub.go.kr/images/disease/,43,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
64,c1_43(8).jpg,https://www.bigdatahub.go.kr/images/disease/,43,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
65,c1_43(9).jpg,https://www.bigdatahub.go.kr/images/disease/,43,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+모자이크병
66,c1_44(1).jpg,https://www.bigdatahub.go.kr/images/disease/,44,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
67,c1_44(2).jpg,https://www.bigdatahub.go.kr/images/disease/,44,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
68,c1_44(3).jpg,https://www.bigdatahub.go.kr/images/disease/,44,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
69,c1_44(4).jpg,https://www.bigdatahub.go.kr/images/disease/,44,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
70,c1_44(5).jpg,https://www.bigdatahub.go.kr/images/disease/,44,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
71,c1_44(6).jpg,https://www.bigdatahub.go.kr/images/disease/,44,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
72,c1_44(7).jpg,https://www.bigdatahub.go.kr/images/disease/,44,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
73,c1_44(8).jpg,https://www.bigdatahub.go.kr/images/disease/,44,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
74,c1_44(9).jpg,https://www.bigdatahub.go.kr/images/disease/,44,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+흰가루병
75,c1_48(1).jpg,https://www.bigdatahub.go.kr/images/disease/,48,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
76,c1_48(2).jpg,https://www.bigdatahub.go.kr/images/disease/,48,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
77,c1_48(3).jpg,https://www.bigdatahub.go.kr/images/disease/,48,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
78,c1_48(4).jpg,https://www.bigdatahub.go.kr/images/disease/,48,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
79,c1_48(5).jpg,https://www.bigdatahub.go.kr/images/disease/,48,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
80,c1_48(6).jpg,https://www.bigdatahub.go.kr/images/disease/,48,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
81,c1_48(7).jpg,https://www.bigdatahub.go.kr/images/disease/,48,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
82,c1_48(8).jpg,https://www.bigdatahub.go.kr/images/disease/,48,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
83,c1_48(9).jpg,https://www.bigdatahub.go.kr/images/disease/,48,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
84,c1_53(1).jpg,https://www.bigdatahub.go.kr/images/disease/,53,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
85,c1_53(2).jpg,https://www.bigdatahub.go.kr/images/disease/,53,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
86,c1_53(3).jpg,https://www.bigdatahub.go.kr/images/disease/,53,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
87,c1_53(4).jpg,https://www.bigdatahub.go.kr/images/disease/,53,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
88,c1_53(5).jpg,https://www.bigdatahub.go.kr/images/disease/,53,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
89,c1_53(6).jpg,https://www.bigdatahub.go.kr/images/disease/,53,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
90,c1_53(7).jpg,https://www.bigdatahub.go.kr/images/disease/,53,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
91,c1_53(8).jpg,https://www.bigdatahub.go.kr/images/disease/,53,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
92,c1_53(9).jpg,https://www.bigdatahub.go.kr/images/disease/,53,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병
93,c1_55(1).jpg,https://www.bigdatahub.go.kr/images/disease/,55,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
94,c1_55(2).jpg,https://www.bigdatahub.go.kr/images/disease/,55,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
95,c1_55(3).jpg,https://www.bigdatahub.go.kr/images/disease/,55,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
96,c1_55(4).jpg,https://www.bigdatahub.go.kr/images/disease/,55,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
97,c1_55(5).jpg,https://www.bigdatahub.go.kr/images/disease/,55,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
98,c1_55(6).jpg,https://www.bigdatahub.go.kr/images/disease/,55,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
99,c1_55(7).jpg,https://www.bigdatahub.go.kr/images/disease/,55,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
100,c1_55(8).jpg,https://www.bigdatahub.go.kr/images/disease/,55,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
101,c1_55(9).jpg,https://www.bigdatahub.go.kr/images/disease/,55,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+덩굴마름병+모자이크병
102,c1_56(1).jpg,https://www.bigdatahub.go.kr/images/disease/,56,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
103,c1_56(2).jpg,https://www.bigdatahub.go.kr/images/disease/,56,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
104,c1_56(3).jpg,https://www.bigdatahub.go.kr/images/disease/,56,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
105,c1_56(4).jpg,https://www.bigdatahub.go.kr/images/disease/,56,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
106,c1_56(5).jpg,https://www.bigdatahub.go.kr/images/disease/,56,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
107,c1_56(6).jpg,https://www.bigdatahub.go.kr/images/disease/,56,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
108,c1_56(7).jpg,https://www.bigdatahub.go.kr/images/disease/,56,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
109,c1_56(8).jpg,https://www.bigdatahub.go.kr/images/disease/,56,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
110,c1_56(9).jpg,https://www.bigdatahub.go.kr/images/disease/,56,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+노균병+기타10
111,c1_58(1).jpg,https://www.bigdatahub.go.kr/images/disease/,58,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
112,c1_58(2).jpg,https://www.bigdatahub.go.kr/images/disease/,58,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
113,c1_58(3).jpg,https://www.bigdatahub.go.kr/images/disease/,58,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
114,c1_58(4).jpg,https://www.bigdatahub.go.kr/images/disease/,58,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
115,c1_58(5).jpg,https://www.bigdatahub.go.kr/images/disease/,58,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
116,c1_58(6).jpg,https://www.bigdatahub.go.kr/images/disease/,58,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
117,c1_58(7).jpg,https://www.bigdatahub.go.kr/images/disease/,58,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
118,c1_58(8).jpg,https://www.bigdatahub.go.kr/images/disease/,58,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
119,c1_58(9).jpg,https://www.bigdatahub.go.kr/images/disease/,58,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+노균병+덩굴마름병
120,c1_59(1).jpg,https://www.bigdatahub.go.kr/images/disease/,59,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
121,c1_59(2).jpg,https://www.bigdatahub.go.kr/images/disease/,59,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
122,c1_59(3).jpg,https://www.bigdatahub.go.kr/images/disease/,59,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
123,c1_59(4).jpg,https://www.bigdatahub.go.kr/images/disease/,59,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
124,c1_59(5).jpg,https://www.bigdatahub.go.kr/images/disease/,59,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
125,c1_59(6).jpg,https://www.bigdatahub.go.kr/images/disease/,59,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
126,c1_59(7).jpg,https://www.bigdatahub.go.kr/images/disease/,59,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
127,c1_59(8).jpg,https://www.bigdatahub.go.kr/images/disease/,59,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
128,c1_59(9).jpg,https://www.bigdatahub.go.kr/images/disease/,59,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병
129,c1_60(1).jpg,https://www.bigdatahub.go.kr/images/disease/,60,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
130,c1_60(2).jpg,https://www.bigdatahub.go.kr/images/disease/,60,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
131,c1_60(3).jpg,https://www.bigdatahub.go.kr/images/disease/,60,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
132,c1_60(4).jpg,https://www.bigdatahub.go.kr/images/disease/,60,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
133,c1_60(5).jpg,https://www.bigdatahub.go.kr/images/disease/,60,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
134,c1_60(6).jpg,https://www.bigdatahub.go.kr/images/disease/,60,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
135,c1_60(7).jpg,https://www.bigdatahub.go.kr/images/disease/,60,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
136,c1_60(8).jpg,https://www.bigdatahub.go.kr/images/disease/,60,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,흰가루병+탄저병+덩굴마름병+기타10
