파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
30,a1_61(1).jpg,https://www.bigdatahub.go.kr/images/disease/,61,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
31,a1_61(2).jpg,https://www.bigdatahub.go.kr/images/disease/,61,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
32,a1_61(3).jpg,https://www.bigdatahub.go.kr/images/disease/,61,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
33,a1_61(4).jpg,https://www.bigdatahub.go.kr/images/disease/,61,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
34,a1_61(5).jpg,https://www.bigdatahub.go.kr/images/disease/,61,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
35,a1_61(6).jpg,https://www.bigdatahub.go.kr/images/disease/,61,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
36,a1_61(7).jpg,https://www.bigdatahub.go.kr/images/disease/,61,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
37,a1_61(8).jpg,https://www.bigdatahub.go.kr/images/disease/,61,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
38,a1_61(9).jpg,https://www.bigdatahub.go.kr/images/disease/,61,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
39,a1_73(1).jpg,https://www.bigdatahub.go.kr/images/disease/,73,1,2020-09-28 14:46,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
40,a1_73(2).jpg,https://www.bigdatahub.go.kr/images/disease/,73,2,2020-09-28 14:46,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
41,a1_73(3).jpg,https://www.bigdatahub.go.kr/images/disease/,73,3,2020-09-28 14:46,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
42,c1_31(1).jpg,https://www.bigdatahub.go.kr/images/disease/,31,1,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
43,c1_31(2).jpg,https://www.bigdatahub.go.kr/images/disease/,31,2,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
44,c1_31(3).jpg,https://www.bigdatahub.go.kr/images/disease/,31,3,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
45,c1_31(4).jpg,https://www.bigdatahub.go.kr/images/disease/,31,4,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
46,c1_31(5).jpg,https://www.bigdatahub.go.kr/images/disease/,31,5,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
47,c1_31(6).jpg,https://www.bigdatahub.go.kr/images/disease/,31,6,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
48,c1_31(7).jpg,https://www.bigdatahub.go.kr/images/disease/,31,7,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
49,c1_31(8).jpg,https://www.bigdatahub.go.kr/images/disease/,31,8,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
50,c1_31(9).jpg,https://www.bigdatahub.go.kr/images/disease/,31,9,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,탄저병+모자이크병+그을음병
51,c1_48(1).jpg,https://www.bigdatahub.go.kr/images/disease/,48,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
52,c1_48(2).jpg,https://www.bigdatahub.go.kr/images/disease/,48,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
53,c1_48(3).jpg,https://www.bigdatahub.go.kr/images/disease/,48,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
54,c1_48(4).jpg,https://www.bigdatahub.go.kr/images/disease/,48,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
55,c1_48(5).jpg,https://www.bigdatahub.go.kr/images/disease/,48,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
56,c1_48(6).jpg,https://www.bigdatahub.go.kr/images/disease/,48,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
57,c1_48(7).jpg,https://www.bigdatahub.go.kr/images/disease/,48,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
58,c1_48(8).jpg,https://www.bigdatahub.go.kr/images/disease/,48,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
59,c1_48(9).jpg,https://www.bigdatahub.go.kr/images/disease/,48,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,덩굴마름병+그을음병+모자이크병
60,c1_49(1).jpg,https://www.bigdatahub.go.kr/images/disease/,49,1,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
61,c1_49(2).jpg,https://www.bigdatahub.go.kr/images/disease/,49,2,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
62,c1_49(3).jpg,https://www.bigdatahub.go.kr/images/disease/,49,3,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
63,c1_49(4).jpg,https://www.bigdatahub.go.kr/images/disease/,49,4,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
64,c1_49(5).jpg,https://www.bigdatahub.go.kr/images/disease/,49,5,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
65,c1_49(6).jpg,https://www.bigdatahub.go.kr/images/disease/,49,6,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
66,c1_49(7).jpg,https://www.bigdatahub.go.kr/images/disease/,49,7,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
67,c1_49(8).jpg,https://www.bigdatahub.go.kr/images/disease/,49,8,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
68,c1_49(9).jpg,https://www.bigdatahub.go.kr/images/disease/,49,9,2020-11-25 14:05,1,20.8 ℃,28.6 %,28.8 ℃,42.8 %,10410 lux,그을음병+모자이크병
69,d1_30(1).jpg,https://www.bigdatahub.go.kr/images/disease/,30,1,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
70,d1_30(2).jpg,https://www.bigdatahub.go.kr/images/disease/,30,2,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
71,d1_30(3).jpg,https://www.bigdatahub.go.kr/images/disease/,30,3,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
72,d1_30(4).jpg,https://www.bigdatahub.go.kr/images/disease/,30,4,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
73,d1_30(5).jpg,https://www.bigdatahub.go.kr/images/disease/,30,5,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
74,d1_30(6).jpg,https://www.bigdatahub.go.kr/images/disease/,30,6,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
75,d1_30(7).jpg,https://www.bigdatahub.go.kr/images/disease/,30,7,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
76,d1_30(8).jpg,https://www.bigdatahub.go.kr/images/disease/,30,8,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
77,d1_30(9).jpg,https://www.bigdatahub.go.kr/images/disease/,30,9,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,그을음병+모자이크병+기타1
78,d1_38(1).jpg,https://www.bigdatahub.go.kr/images/disease/,38,1,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
79,d1_38(2).jpg,https://www.bigdatahub.go.kr/images/disease/,38,2,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
80,d1_38(3).jpg,https://www.bigdatahub.go.kr/images/disease/,38,3,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
81,d1_38(4).jpg,https://www.bigdatahub.go.kr/images/disease/,38,4,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
82,d1_38(5).jpg,https://www.bigdatahub.go.kr/images/disease/,38,5,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
83,d1_38(6).jpg,https://www.bigdatahub.go.kr/images/disease/,38,6,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
84,d1_38(7).jpg,https://www.bigdatahub.go.kr/images/disease/,38,7,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
85,d1_38(8).jpg,https://www.bigdatahub.go.kr/images/disease/,38,8,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
86,d1_38(9).jpg,https://www.bigdatahub.go.kr/images/disease/,38,9,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,노균병+모자이크병+그을음병
87,d1_57(1).jpg,https://www.bigdatahub.go.kr/images/disease/,57,1,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
88,d1_57(2).jpg,https://www.bigdatahub.go.kr/images/disease/,57,2,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
89,d1_57(3).jpg,https://www.bigdatahub.go.kr/images/disease/,57,3,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
90,d1_57(4).jpg,https://www.bigdatahub.go.kr/images/disease/,57,4,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
91,d1_57(5).jpg,https://www.bigdatahub.go.kr/images/disease/,57,5,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
92,d1_57(6).jpg,https://www.bigdatahub.go.kr/images/disease/,57,6,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
93,d1_57(7).jpg,https://www.bigdatahub.go.kr/images/disease/,57,7,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
94,d1_57(8).jpg,https://www.bigdatahub.go.kr/images/disease/,57,8,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
95,d1_57(9).jpg,https://www.bigdatahub.go.kr/images/disease/,57,9,2020-09-28 14:32,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병+탄저병
96,e1_121(1).jpg,https://www.bigdatahub.go.kr/images/disease/,121,1,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
97,e1_121(2).jpg,https://www.bigdatahub.go.kr/images/disease/,121,2,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
98,e1_121(3).jpg,https://www.bigdatahub.go.kr/images/disease/,121,3,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
99,e1_121(4).jpg,https://www.bigdatahub.go.kr/images/disease/,121,4,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
100,e1_121(5).jpg,https://www.bigdatahub.go.kr/images/disease/,121,5,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
101,e1_121(6).jpg,https://www.bigdatahub.go.kr/images/disease/,121,6,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
102,e1_121(7).jpg,https://www.bigdatahub.go.kr/images/disease/,121,7,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
103,e1_121(8).jpg,https://www.bigdatahub.go.kr/images/disease/,121,8,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
104,e1_121(9).jpg,https://www.bigdatahub.go.kr/images/disease/,121,9,2020-11-25 13:56,1,20.8 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+그을음병+모자이크병
105,g1_49(1).jpg,https://www.bigdatahub.go.kr/images/disease/,49,1,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
106,g1_49(2).jpg,https://www.bigdatahub.go.kr/images/disease/,49,2,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
107,g1_49(3).jpg,https://www.bigdatahub.go.kr/images/disease/,49,3,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
108,g1_49(4).jpg,https://www.bigdatahub.go.kr/images/disease/,49,4,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
109,g1_49(5).jpg,https://www.bigdatahub.go.kr/images/disease/,49,5,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
110,g1_49(6).jpg,https://www.bigdatahub.go.kr/images/disease/,49,6,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
111,g1_49(7).jpg,https://www.bigdatahub.go.kr/images/disease/,49,7,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
112,g1_49(8).jpg,https://www.bigdatahub.go.kr/images/disease/,49,8,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
113,g1_49(9).jpg,https://www.bigdatahub.go.kr/images/disease/,49,9,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,세균성모무늬병+그을음병
114,g1_50(1).jpg,https://www.bigdatahub.go.kr/images/disease/,50,1,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
115,g1_50(2).jpg,https://www.bigdatahub.go.kr/images/disease/,50,2,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
116,g1_50(3).jpg,https://www.bigdatahub.go.kr/images/disease/,50,3,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
117,g1_50(4).jpg,https://www.bigdatahub.go.kr/images/disease/,50,4,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
118,g1_50(5).jpg,https://www.bigdatahub.go.kr/images/disease/,50,5,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
119,g1_50(6).jpg,https://www.bigdatahub.go.kr/images/disease/,50,6,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
120,g1_50(7).jpg,https://www.bigdatahub.go.kr/images/disease/,50,7,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
121,g1_50(8).jpg,https://www.bigdatahub.go.kr/images/disease/,50,8,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
122,g1_50(9).jpg,https://www.bigdatahub.go.kr/images/disease/,50,9,2020-09-28 14:33,1,28.1 ℃,39.1 %,28.6 ℃,38.7 %,9100 lux,모자이크병+그을음병
123,h1_6(1).jpg,https://www.bigdatahub.go.kr/images/disease/,6,1,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
124,h1_6(2).jpg,https://www.bigdatahub.go.kr/images/disease/,6,2,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
125,h1_6(3).jpg,https://www.bigdatahub.go.kr/images/disease/,6,3,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
126,h1_6(4).jpg,https://www.bigdatahub.go.kr/images/disease/,6,4,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
127,h1_6(5).jpg,https://www.bigdatahub.go.kr/images/disease/,6,5,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
128,h1_6(6).jpg,https://www.bigdatahub.go.kr/images/disease/,6,6,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
129,h1_6(7).jpg,https://www.bigdatahub.go.kr/images/disease/,6,7,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
130,h1_6(8).jpg,https://www.bigdatahub.go.kr/images/disease/,6,8,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
131,h1_6(9).jpg,https://www.bigdatahub.go.kr/images/disease/,6,9,2020-09-24 10:54,1,31.2 ℃,31.6 %,32.8 ℃,42.3 %,10060 lux,그을음병+흰가루병
132,h1_32(1).jpg,https://www.bigdatahub.go.kr/images/disease/,32,1,2020-09-28 14:32,1,29.2 ℃,28.7 %,29.9 ℃,31.6 %,15910 lux,모자이크병+그을음병
133,h1_32(2).jpg,https://www.bigdatahub.go.kr/images/disease/,32,2,2020-09-28 14:32,1,29.2 ℃,28.7 %,29.9 ℃,31.6 %,15910 lux,모자이크병+그을음병
134,h1_32(3).jpg,https://www.bigdatahub.go.kr/images/disease/,32,3,2020-09-28 14:32,1,29.2 ℃,28.7 %,29.9 ℃,31.6 %,15910 lux,모자이크병+그을음병
135,h1_32(4).jpg,https://www.bigdatahub.go.kr/images/disease/,32,4,2020-09-28 14:32,1,29.2 ℃,28.7 %,29.9 ℃,31.6 %,15910 lux,모자이크병+그을음병
136,h1_32(5).jpg,https://www.bigdatahub.go.kr/images/disease/,32,5,2020-09-28 14:32,1,29.2 ℃,28.7 %,29.9 ℃,31.6 %,15910 lux,모자이크병+그을음병
